Id,SalePrice
1461,127601.5625
1462,159568.6875
1463,197044.28125
1464,201912.8125
1465,183829.765625
1466,176108.15625
1467,176393.90625
1468,171322.296875
1469,185418.8125
1470,122936.09375
1471,197471.875
1472,94493.6796875
1473,99491.3828125
1474,154187.09375
1475,104372.171875
1476,363560.0
1477,240745.65625
1478,273012.3125
1479,297195.5625
1480,485995.15625
1481,335064.78125
1482,208532.140625
1483,176550.59375
1484,165933.140625
1485,167952.375
1486,197620.515625
1487,330203.375
1488,231932.75
1489,194411.828125
1490,241186.65625
1491,189892.5
1492,87846.6171875
1493,191101.71875
1494,296702.8125
1495,277563.25
1496,225497.09375
1497,185680.53125
1498,155662.8125
1499,153646.046875
1500,160806.875
1501,180393.0
1502,140229.09375
1503,292632.875
1504,226970.90625
1505,221618.40625
1506,185612.890625
1507,274336.59375
1508,211882.125
1509,165161.421875
1510,145975.234375
1511,144010.21875
1512,180052.34375
1513,150371.34375
1514,153118.71875
1515,218601.765625
1516,157608.90625
1517,162154.6875
1518,131086.9375
1519,222421.9375
1520,131346.359375
1521,135456.984375
1522,171148.703125
1523,115432.546875
1524,125712.4296875
1525,124701.6484375
1526,118067.4609375
1527,101410.0625
1528,136586.0625
1529,155172.0625
1530,178073.65625
1531,102881.8828125
1532,100576.6484375
1533,145881.984375
1534,128185.796875
1535,169085.390625
1536,109597.3984375
1537,91617.046875
1538,143217.609375
1539,183813.109375
1540,104161.5625
1541,140337.859375
1542,139730.09375
1543,185704.078125
1544,75604.3359375
1545,112626.765625
1546,129230.9765625
1547,131109.328125
1548,138149.203125
1549,115899.921875
1550,141849.484375
1551,115766.4765625
1552,144468.421875
1553,144110.640625
1554,109482.484375
1555,163679.796875
1556,81040.234375
1557,110726.5703125
1558,88391.6875
1559,77164.2890625
1560,146568.375
1561,133069.53125
1562,131856.15625
1563,121846.7265625
1564,170241.484375
1565,158121.390625
1566,230740.515625
1567,73898.5234375
1568,219033.53125
1569,154797.21875
1570,131313.171875
1571,129612.125
1572,146103.5
1573,259060.03125
1574,118247.53125
1575,228890.296875
1576,244915.671875
1577,191724.203125
1578,149517.21875
1579,157635.21875
1580,193495.296875
1581,154226.8125
1582,126150.0703125
1583,335533.875
1584,233672.484375
1585,144469.109375
1586,76388.890625
1587,96982.9453125
1588,144515.953125
1589,106313.8828125
1590,134789.71875
1591,98557.3984375
1592,119106.2265625
1593,121147.5703125
1594,138406.21875
1595,146134.03125
1596,256571.8125
1597,190829.078125
1598,201336.53125
1599,164917.78125
1600,162448.453125
1601,73840.328125
1602,120129.7265625
1603,68638.1015625
1604,262050.03125
1605,247300.984375
1606,168627.578125
1607,162417.78125
1608,217491.546875
1609,184423.453125
1610,161391.0
1611,143251.625
1612,175980.90625
1613,176274.84375
1614,125572.1171875
1615,86167.9453125
1616,71575.9140625
1617,95652.0625
1618,129519.078125
1619,147521.828125
1620,213511.171875
1621,150288.34375
1622,146476.703125
1623,292745.65625
1624,224323.390625
1625,120482.53125
1626,156992.203125
1627,191996.28125
1628,268062.34375
1629,168955.3125
1630,373460.15625
1631,203613.890625
1632,231920.140625
1633,162660.6875
1634,204410.421875
1635,172625.171875
1636,154967.375
